date,immigration,State
2004-01-01,67,MA
2004-02-01,61,MA
2004-03-01,57,MA
2004-04-01,67,MA
2004-05-01,62,MA
2004-06-01,51,MA
2004-07-01,54,MA
2004-08-01,52,MA
2004-09-01,63,MA
2004-10-01,50,MA
2004-11-01,71,MA
2004-12-01,56,MA
2005-01-01,45,MA
2005-02-01,47,MA
2005-03-01,60,MA
2005-04-01,52,MA
2005-05-01,52,MA
2005-06-01,45,MA
2005-07-01,52,MA
2005-08-01,47,MA
2005-09-01,52,MA
2005-10-01,52,MA
2005-11-01,56,MA
2005-12-01,53,MA
2006-01-01,48,MA
2006-02-01,56,MA
2006-03-01,70,MA
2006-04-01,100,MA
2006-05-01,98,MA
2006-06-01,58,MA
2006-07-01,37,MA
2006-08-01,49,MA
2006-09-01,47,MA
2006-10-01,58,MA
2006-11-01,56,MA
2006-12-01,46,MA
2007-01-01,54,MA
2007-02-01,52,MA
2007-03-01,67,MA
2007-04-01,58,MA
2007-05-01,82,MA
2007-06-01,83,MA
2007-07-01,53,MA
2007-08-01,49,MA
2007-09-01,43,MA
2007-10-01,52,MA
2007-11-01,50,MA
2007-12-01,47,MA
2008-01-01,47,MA
2008-02-01,46,MA
2008-03-01,38,MA
2008-04-01,50,MA
2008-05-01,44,MA
2008-06-01,33,MA
2008-07-01,32,MA
2008-08-01,29,MA
2008-09-01,38,MA
2008-10-01,42,MA
2008-11-01,38,MA
2008-12-01,37,MA
2009-01-01,37,MA
2009-02-01,39,MA
2009-03-01,48,MA
2009-04-01,45,MA
2009-05-01,41,MA
2009-06-01,41,MA
2009-07-01,31,MA
2009-08-01,30,MA
2009-09-01,41,MA
2009-10-01,39,MA
2009-11-01,37,MA
2009-12-01,36,MA
2010-01-01,33,MA
2010-02-01,36,MA
2010-03-01,49,MA
2010-04-01,57,MA
2010-05-01,72,MA
2010-06-01,45,MA
2010-07-01,48,MA
2010-08-01,38,MA
2010-09-01,38,MA
2010-10-01,38,MA
2010-11-01,34,MA
2010-12-01,31,MA
2011-01-01,32,MA
2011-02-01,32,MA
2011-03-01,34,MA
2011-04-01,32,MA
2011-05-01,30,MA
2011-06-01,32,MA
2011-07-01,29,MA
2011-08-01,30,MA
2011-09-01,31,MA
2011-10-01,35,MA
2011-11-01,34,MA
2011-12-01,28,MA
2012-01-01,29,MA
2012-02-01,29,MA
2012-03-01,30,MA
2012-04-01,29,MA
2012-05-01,27,MA
2012-06-01,31,MA
2012-07-01,21,MA
2012-08-01,25,MA
2012-09-01,22,MA
2012-10-01,24,MA
2012-11-01,26,MA
2012-12-01,24,MA
2013-01-01,37,MA
2013-02-01,39,MA
2013-03-01,41,MA
2013-04-01,60,MA
2013-05-01,47,MA
2013-06-01,55,MA
2013-07-01,44,MA
2013-08-01,34,MA
2013-09-01,37,MA
2013-10-01,43,MA
2013-11-01,39,MA
2013-12-01,35,MA
2014-01-01,41,MA
2014-02-01,43,MA
2014-03-01,37,MA
2014-04-01,36,MA
2014-05-01,36,MA
2014-06-01,40,MA
2014-07-01,43,MA
2014-08-01,38,MA
2014-09-01,37,MA
2014-10-01,36,MA
2014-11-01,80,MA
2014-12-01,41,MA
2015-01-01,37,MA
2015-02-01,36,MA
2015-03-01,36,MA
2015-04-01,37,MA
2015-05-01,34,MA
2015-06-01,31,MA
2015-07-01,28,MA
2015-08-01,27,MA
2015-09-01,33,MA
2015-10-01,35,MA
2015-11-01,36,MA
2015-12-01,30,MA
2016-01-01,35,MA
2016-02-01,33,MA
2016-03-01,31,MA
2016-04-01,31,MA
2016-05-01,29,MA
2016-06-01,30,MA
2016-07-01,20,MA
2016-08-01,25,MA
2016-09-01,29,MA
2016-10-01,30,MA
2016-11-01,58,MA
2016-12-01,30,MA
2017-01-01,79,MA
2017-02-01,80,MA
2017-03-01,47,MA
2017-04-01,35,MA
2017-05-01,32,MA
2017-06-01,26,MA
2017-07-01,24,MA
2017-08-01,32,MA
2017-09-01,31,MA
2017-10-01,29,MA
2017-11-01,30,MA
2017-12-01,26,MA
2018-01-01,44,MA
2018-02-01,42,MA
2018-03-01,30,MA
2018-04-01,34,MA
2018-05-01,29,MA
2018-06-01,63,MA
2018-07-01,33,MA
2018-08-01,30,MA
2018-09-01,28,MA
2018-10-01,35,MA
2018-11-01,35,MA
2018-12-01,29,MA
2019-01-01,34,MA
2019-02-01,31,MA
2019-03-01,31,MA
2019-04-01,31,MA
2019-05-01,33,MA
2019-06-01,29,MA
2019-07-01,33,MA
2019-08-01,29,MA
2019-09-01,27,MA
2019-10-01,30,MA
2019-11-01,27,MA
2019-12-01,22,MA
2020-01-01,28,MA
2020-02-01,34,MA
2020-03-01,23,MA
2020-04-01,29,MA
2020-05-01,22,MA
2020-06-01,24,MA
2020-07-01,22,MA
2020-08-01,22,MA
2020-09-01,23,MA
2020-10-01,22,MA
2020-11-01,20,MA
2020-12-01,16,MA
