date,apartment for rent,State
2004-01-01,49,NJ
2004-02-01,44,NJ
2004-03-01,0,NJ
2004-04-01,30,NJ
2004-05-01,23,NJ
2004-06-01,39,NJ
2004-07-01,35,NJ
2004-08-01,24,NJ
2004-09-01,30,NJ
2004-10-01,33,NJ
2004-11-01,26,NJ
2004-12-01,0,NJ
2005-01-01,12,NJ
2005-02-01,26,NJ
2005-03-01,33,NJ
2005-04-01,27,NJ
2005-05-01,57,NJ
2005-06-01,19,NJ
2005-07-01,10,NJ
2005-08-01,32,NJ
2005-09-01,15,NJ
2005-10-01,30,NJ
2005-11-01,31,NJ
2005-12-01,29,NJ
2006-01-01,30,NJ
2006-02-01,32,NJ
2006-03-01,46,NJ
2006-04-01,18,NJ
2006-05-01,33,NJ
2006-06-01,45,NJ
2006-07-01,35,NJ
2006-08-01,47,NJ
2006-09-01,37,NJ
2006-10-01,27,NJ
2006-11-01,23,NJ
2006-12-01,11,NJ
2007-01-01,29,NJ
2007-02-01,39,NJ
2007-03-01,16,NJ
2007-04-01,34,NJ
2007-05-01,43,NJ
2007-06-01,34,NJ
2007-07-01,42,NJ
2007-08-01,31,NJ
2007-09-01,44,NJ
2007-10-01,32,NJ
2007-11-01,19,NJ
2007-12-01,21,NJ
2008-01-01,32,NJ
2008-02-01,37,NJ
2008-03-01,44,NJ
2008-04-01,38,NJ
2008-05-01,24,NJ
2008-06-01,29,NJ
2008-07-01,36,NJ
2008-08-01,28,NJ
2008-09-01,28,NJ
2008-10-01,27,NJ
2008-11-01,29,NJ
2008-12-01,34,NJ
2009-01-01,41,NJ
2009-02-01,28,NJ
2009-03-01,32,NJ
2009-04-01,47,NJ
2009-05-01,32,NJ
2009-06-01,37,NJ
2009-07-01,42,NJ
2009-08-01,54,NJ
2009-09-01,47,NJ
2009-10-01,33,NJ
2009-11-01,42,NJ
2009-12-01,33,NJ
2010-01-01,45,NJ
2010-02-01,43,NJ
2010-03-01,39,NJ
2010-04-01,47,NJ
2010-05-01,34,NJ
2010-06-01,48,NJ
2010-07-01,46,NJ
2010-08-01,59,NJ
2010-09-01,44,NJ
2010-10-01,34,NJ
2010-11-01,42,NJ
2010-12-01,32,NJ
2011-01-01,57,NJ
2011-02-01,53,NJ
2011-03-01,48,NJ
2011-04-01,45,NJ
2011-05-01,46,NJ
2011-06-01,61,NJ
2011-07-01,55,NJ
2011-08-01,46,NJ
2011-09-01,38,NJ
2011-10-01,46,NJ
2011-11-01,38,NJ
2011-12-01,44,NJ
2012-01-01,52,NJ
2012-02-01,54,NJ
2012-03-01,45,NJ
2012-04-01,48,NJ
2012-05-01,51,NJ
2012-06-01,59,NJ
2012-07-01,63,NJ
2012-08-01,53,NJ
2012-09-01,44,NJ
2012-10-01,48,NJ
2012-11-01,44,NJ
2012-12-01,32,NJ
2013-01-01,46,NJ
2013-02-01,47,NJ
2013-03-01,56,NJ
2013-04-01,60,NJ
2013-05-01,57,NJ
2013-06-01,57,NJ
2013-07-01,59,NJ
2013-08-01,65,NJ
2013-09-01,52,NJ
2013-10-01,51,NJ
2013-11-01,52,NJ
2013-12-01,48,NJ
2014-01-01,61,NJ
2014-02-01,66,NJ
2014-03-01,70,NJ
2014-04-01,60,NJ
2014-05-01,55,NJ
2014-06-01,55,NJ
2014-07-01,62,NJ
2014-08-01,67,NJ
2014-09-01,60,NJ
2014-10-01,56,NJ
2014-11-01,58,NJ
2014-12-01,43,NJ
2015-01-01,56,NJ
2015-02-01,68,NJ
2015-03-01,71,NJ
2015-04-01,69,NJ
2015-05-01,77,NJ
2015-06-01,67,NJ
2015-07-01,66,NJ
2015-08-01,79,NJ
2015-09-01,55,NJ
2015-10-01,59,NJ
2015-11-01,56,NJ
2015-12-01,54,NJ
2016-01-01,75,NJ
2016-02-01,85,NJ
2016-03-01,79,NJ
2016-04-01,87,NJ
2016-05-01,83,NJ
2016-06-01,87,NJ
2016-07-01,89,NJ
2016-08-01,84,NJ
2016-09-01,73,NJ
2016-10-01,63,NJ
2016-11-01,55,NJ
2016-12-01,50,NJ
2017-01-01,78,NJ
2017-02-01,75,NJ
2017-03-01,73,NJ
2017-04-01,79,NJ
2017-05-01,76,NJ
2017-06-01,76,NJ
2017-07-01,76,NJ
2017-08-01,88,NJ
2017-09-01,72,NJ
2017-10-01,68,NJ
2017-11-01,65,NJ
2017-12-01,58,NJ
2018-01-01,78,NJ
2018-02-01,84,NJ
2018-03-01,78,NJ
2018-04-01,74,NJ
2018-05-01,82,NJ
2018-06-01,71,NJ
2018-07-01,83,NJ
2018-08-01,88,NJ
2018-09-01,79,NJ
2018-10-01,77,NJ
2018-11-01,74,NJ
2018-12-01,70,NJ
2019-01-01,84,NJ
2019-02-01,81,NJ
2019-03-01,100,NJ
2019-04-01,87,NJ
2019-05-01,78,NJ
2019-06-01,85,NJ
2019-07-01,82,NJ
2019-08-01,83,NJ
2019-09-01,77,NJ
2019-10-01,75,NJ
2019-11-01,65,NJ
2019-12-01,63,NJ
2020-01-01,83,NJ
2020-02-01,81,NJ
2020-03-01,54,NJ
2020-04-01,57,NJ
2020-05-01,81,NJ
2020-06-01,79,NJ
2020-07-01,85,NJ
2020-08-01,86,NJ
2020-09-01,72,NJ
2020-10-01,70,NJ
2020-11-01,75,NJ
2020-12-01,59,NJ
