date,house for rent,State
2004-01-01,65,CT
2004-02-01,71,CT
2004-03-01,84,CT
2004-04-01,0,CT
2004-05-01,0,CT
2004-06-01,0,CT
2004-07-01,32,CT
2004-08-01,0,CT
2004-09-01,42,CT
2004-10-01,0,CT
2004-11-01,67,CT
2004-12-01,0,CT
2005-01-01,0,CT
2005-02-01,0,CT
2005-03-01,31,CT
2005-04-01,53,CT
2005-05-01,46,CT
2005-06-01,0,CT
2005-07-01,0,CT
2005-08-01,0,CT
2005-09-01,0,CT
2005-10-01,0,CT
2005-11-01,0,CT
2005-12-01,0,CT
2006-01-01,25,CT
2006-02-01,28,CT
2006-03-01,22,CT
2006-04-01,17,CT
2006-05-01,12,CT
2006-06-01,37,CT
2006-07-01,21,CT
2006-08-01,21,CT
2006-09-01,0,CT
2006-10-01,10,CT
2006-11-01,27,CT
2006-12-01,0,CT
2007-01-01,14,CT
2007-02-01,0,CT
2007-03-01,0,CT
2007-04-01,17,CT
2007-05-01,34,CT
2007-06-01,42,CT
2007-07-01,26,CT
2007-08-01,14,CT
2007-09-01,17,CT
2007-10-01,16,CT
2007-11-01,13,CT
2007-12-01,14,CT
2008-01-01,33,CT
2008-02-01,0,CT
2008-03-01,17,CT
2008-04-01,17,CT
2008-05-01,28,CT
2008-06-01,41,CT
2008-07-01,0,CT
2008-08-01,33,CT
2008-09-01,37,CT
2008-10-01,33,CT
2008-11-01,20,CT
2008-12-01,22,CT
2009-01-01,51,CT
2009-02-01,15,CT
2009-03-01,26,CT
2009-04-01,22,CT
2009-05-01,27,CT
2009-06-01,46,CT
2009-07-01,51,CT
2009-08-01,36,CT
2009-09-01,22,CT
2009-10-01,26,CT
2009-11-01,24,CT
2009-12-01,15,CT
2010-01-01,20,CT
2010-02-01,38,CT
2010-03-01,36,CT
2010-04-01,15,CT
2010-05-01,32,CT
2010-06-01,56,CT
2010-07-01,39,CT
2010-08-01,34,CT
2010-09-01,24,CT
2010-10-01,34,CT
2010-11-01,30,CT
2010-12-01,36,CT
2011-01-01,41,CT
2011-02-01,38,CT
2011-03-01,43,CT
2011-04-01,34,CT
2011-05-01,51,CT
2011-06-01,48,CT
2011-07-01,59,CT
2011-08-01,39,CT
2011-09-01,39,CT
2011-10-01,26,CT
2011-11-01,31,CT
2011-12-01,25,CT
2012-01-01,43,CT
2012-02-01,49,CT
2012-03-01,52,CT
2012-04-01,46,CT
2012-05-01,53,CT
2012-06-01,55,CT
2012-07-01,52,CT
2012-08-01,65,CT
2012-09-01,33,CT
2012-10-01,26,CT
2012-11-01,38,CT
2012-12-01,42,CT
2013-01-01,50,CT
2013-02-01,49,CT
2013-03-01,42,CT
2013-04-01,50,CT
2013-05-01,49,CT
2013-06-01,55,CT
2013-07-01,63,CT
2013-08-01,54,CT
2013-09-01,45,CT
2013-10-01,39,CT
2013-11-01,25,CT
2013-12-01,39,CT
2014-01-01,50,CT
2014-02-01,47,CT
2014-03-01,47,CT
2014-04-01,56,CT
2014-05-01,34,CT
2014-06-01,49,CT
2014-07-01,62,CT
2014-08-01,61,CT
2014-09-01,42,CT
2014-10-01,34,CT
2014-11-01,41,CT
2014-12-01,33,CT
2015-01-01,51,CT
2015-02-01,54,CT
2015-03-01,50,CT
2015-04-01,57,CT
2015-05-01,67,CT
2015-06-01,56,CT
2015-07-01,68,CT
2015-08-01,67,CT
2015-09-01,57,CT
2015-10-01,61,CT
2015-11-01,41,CT
2015-12-01,44,CT
2016-01-01,62,CT
2016-02-01,59,CT
2016-03-01,59,CT
2016-04-01,80,CT
2016-05-01,74,CT
2016-06-01,74,CT
2016-07-01,88,CT
2016-08-01,53,CT
2016-09-01,60,CT
2016-10-01,58,CT
2016-11-01,41,CT
2016-12-01,51,CT
2017-01-01,66,CT
2017-02-01,68,CT
2017-03-01,71,CT
2017-04-01,85,CT
2017-05-01,70,CT
2017-06-01,78,CT
2017-07-01,80,CT
2017-08-01,80,CT
2017-09-01,61,CT
2017-10-01,55,CT
2017-11-01,51,CT
2017-12-01,62,CT
2018-01-01,72,CT
2018-02-01,76,CT
2018-03-01,67,CT
2018-04-01,76,CT
2018-05-01,72,CT
2018-06-01,73,CT
2018-07-01,74,CT
2018-08-01,77,CT
2018-09-01,60,CT
2018-10-01,60,CT
2018-11-01,54,CT
2018-12-01,59,CT
2019-01-01,62,CT
2019-02-01,67,CT
2019-03-01,67,CT
2019-04-01,78,CT
2019-05-01,69,CT
2019-06-01,77,CT
2019-07-01,87,CT
2019-08-01,83,CT
2019-09-01,66,CT
2019-10-01,58,CT
2019-11-01,55,CT
2019-12-01,49,CT
2020-01-01,66,CT
2020-02-01,71,CT
2020-03-01,49,CT
2020-04-01,56,CT
2020-05-01,76,CT
2020-06-01,100,CT
2020-07-01,99,CT
2020-08-01,83,CT
2020-09-01,66,CT
2020-10-01,72,CT
2020-11-01,53,CT
2020-12-01,61,CT
